Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Colby College,11,https://www.usnews.com/best-colleges/colby-college-2039,"$57,280",14720,2000,"Private, Coed",1813,None,04-01-04,Rural,"$828,000,000.00","$55,200",13%,10,10:01,87.00%,73.90%,24.90%,1%,48%,52%,,11,48,16,18,185,43,,,,,,,"$20,739",$800,$500,$800,"$53,497",49%,43%,100%,"$54,150",43%,"$53,497",43%,"$1,564",18%,N/A,100%,N/A,N/A,10:01,5%,17%,100%,14%,13%,203,23,51.70%,48.30%,60.90%,39.10%,54,94%,N/A,65%,,2000,11%,89%,9.90%,147,10,,4.1,79%,185
Haveford College,11,https://www.usnews.com/best-colleges/haverford-college-3274,"$56,698",16770,1310,"Private, Coed",1833,None,Semester,Suburban,"$518,900,000.00","$50,700",19%,9,9:01,88.00%,77.90%,20.90%,1%,49%,51%,,11,22,14,,148,,,,,,50,,"$26,607","$1,194",$222,"$1,468","$51,777",57%,47%,100%,"$55,628",47%,"$51,777",47%,"$2,892",43%,"$2,555",100%,N/A,N/A,9:01,3%,13%,99%,23%,8%,135,24,48.90%,51.10%,33.30%,66.70%,34,97%,N/A,63%,,1310,16%,75%,11%,145,9,,4.2,95%,148
Smith College,11,https://www.usnews.com/best-colleges/smith-college-2209,"$54,224",18130,2903,"Private, Women's college",1871,None,Semester,Suburban,"$1,900,000,000.00","$47,000",31%,8,8:01,83.00%,69.70%,26.60%,4%,0%,100%,,11,9,5,11,72,,,,,,,,"$24,829",$800,$611,"$1,464","$50,491",74%,60%,100%,"$51,913",60%,"$50,491",58%,"$4,192",54%,"$3,218",100%,"$14,564","N/A

",8:01,3%,3%,99%,21%,15%,290,20,43.10%,56.90%,35%,65%,48,93%,97%,N/A,,2502,19%,81%,13.80%,143,13,,4.3,72%,72
Grinnel College,14,https://www.usnews.com/best-colleges/grinnell-college-1868,"$54,354",13292,1716,"Private, Coed",1846,None,Semester,Rural,"$2,000,000,000.00","$48,800",24%,9,9:01,78%,65%,35%,0%,46%,54%,,14,3,10,11,60,27,,,,,31,,"$22,844",$900,$700,"$1,100","$45,077",83%,70%,100%,"$50,145",70%,"$45,077",70%,"$5,062",61%,"$2,810",100%,"$18,811",N/A,9:01,0%,0%,99%,22%,11%,172,38,52.90%,47.10%,50%,50%,27,94%,86%,47%,,1716,18%,92%,19.30%,109,2,,4.2,68%,60
Hamliton College,14,https://www.usnews.com/best-colleges/hamilton-college-2728,"$56,530",14360,1915,"Private, Coed",1812,None,Semester,Rural,"$1,000,000,000.00","$59,100",21%,9,9:01,88.00%,76.20%,23.60%,0%,47%,53%,,14,32,29,50,132,,,,8,,,,"$24,140","$1,000",$500,$500,"$45,196",61%,56%,100%,"$50,181",56%,"$45,196",56%,"$4,540",44%,"$3,261",100%,N/A,N/A,9:01,1%,3%,97%,21%,18%,190,39,48.90%,51.10%,59%,41%,42,94%,94%,N/A,,1915,13%,71%,6.60%,218,13,,3.9,81%,132
Colgate College,17,https://www.usnews.com/best-colleges/colgate-university-2701,"$58,045",14540,2969,"Private, Coed",1819,None,Semester,Rural,"$923,600,000.00","$62,300",25%,9,9:01,84.00%,70.80%,27.60%,2%,45%,55%,,17,35,17,,179,,,,,,50,,"$23,310","$1,040",$300,"$1,075","$55,163",38%,30%,100%,"$58,976",30%,"$55,163",30%,"$3,550",28%,"$1,114",100%,N/A,"$42,324",9:01,3%,0%,96%,26%,4%,332,23,55.10%,44.90%,47.80%,52.20%,53,94%,96%,68%,,2958,18%,74%,9.40%,218,25,,4.1,77%,179
United State Naval Academy,17,https://www.usnews.com/best-colleges/united-states-naval-academy-2101,,,4512,"Public, Coed",1845,None,Semester,City,"$283,700,000.00","$84,900",9%,8,8:01,91.00%,67.90%,32%,0%,72%,28%,,17,,,,35,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,N/A,N/A,8:01,5%,0%,66%,13%,37%,542,38,67.90%,32.10%,57.90%,42.10%,28,97%,100%,N/A,,4512,N/A,94%,1.20%,100,13,,4.3,57%,35
Wesleyan University,17,https://www.usnews.com/best-colleges/wesleyan-university-1424,"$57,004",16799,3217,"Private, Coed",1831,None,Semester,City,"$1,100,000,000.00","$55,100",17%,8,8:01,85.00%,72.50%,24.80%,3%,45%,55%,,17,,20,,81,,,,,,,,"$29,956","$1,200",$450,"$1,465","$50,083",43%,41%,100%,"$55,385",41%,"$50,083",41%,"$4,687",40%,"$3,143",100%,"$35,118",N/A,8:01,8%,1%,92%,21%,27%,367,71,54.20%,45.80%,46.50%,53.50%,45,95%,98%,57%,,3009,20%,93%,12.50%,261,12,,4.1,57%,81
Bates College,21,https://www.usnews.com/best-colleges/bates-college-2036,"$55,683",15705,1832,"Private, Coed",1855,None,04-04-01,City,"$315,600,000.00","$53,700",18%,10,10:01,86.00%,71.90%,27%,1%,50%,50%,,21,16,39,8,160,22,,14,,,,,"$25,192",$900,$300,$950,"$44,644",44%,39%,100%,"$47,792",39%,"$44,644",39%,"$3,208",39%,"$2,166",100%,N/A,N/A,10:01,6%,0%,98%,19%,12%,181,25,49.20%,50.80%,48%,52%,36,95%,92%,N/A,,1832,15%,N/A,7.80%,128,11,,4.1,55%,160
United States Military Academy,21,https://www.usnews.com/best-colleges/west-point-2893,,,,"Public, Coed",1802,None,Semester,Suburban,,"$79,100",10%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,21,,,,35,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52%,95%,52%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95%,N/A,N/A,,N/A,N/A,N/A,N/A,85,15,,4.3,46%,35
Harvey Mudd College,23,https://www.usnews.com/best-colleges/harvey-mudd-college-1171,"$58,660",18679,889,"Private, Coed",1955,None,Semester,Suburban,"$316,800,000.00","$82,400",14%,8,8:01,85.00%,56.80%,38.40%,5%,51%,49%,,23,19,83,6,144,,,28,,,18,,"$34,464",$800,N/A,"$1,400","$45,244",66%,50%,100%,"$46,502",50%,"$45,244",50%,"$4,160",24%,"$4,330",100%,"$14,678",N/A,8:01,3%,7%,99%,22%,14%,101,14,65.30%,34.70%,28.60%,71.40%,10,97%,100%,44%,,889,N/A,56%,9.40%,90,14,,4.4,87%,144
University of Richmond,23,https://www.usnews.com/best-colleges/bryn-mawr-college-3237,"$54,440",17100,1690,"Private, Women's college",1885,None,Semester,Suburban,"$897,200,000.00","$49,700",34%,9,9:01,79.00%,71.50%,25.80%,3%,0%,100%,,23,7,36,27,99,31,,,,,44,,"$26,264","$1,100",N/A,"$1,000","$45,282",60%,39%,83%,"$50,153",39%,"$45,282",39%,"$3,756",30%,"$2,860",100%,"$30,235","$41,930",8:01,3%,1%,93%,15%,10%,410,196,54.90%,45.10%,58.20%,41.80%,51,93%,93%,N/A,,3227,12%,77%,9.40%,192,22,,4,56%,138
Barnard College,25,https://www.usnews.com/best-colleges/barnard-college-2708,"$57,668",17856,2562,"Private, Women's college",1889,None,Semester,Urban,"$345,100,000.00","$54,300",14%,9,9:01,87.00%,75.00%,18.00%,7%,0%,100%,,25,,52,,84,51,,,,,44,,"$25,007","$1,150",N/A,"$1,370","$48,845",45%,43%,93%,"$53,491",43%,"$48,845",43%,"$4,070",43%,"$2,048",100%,N/A,N/A,9:01,3%,3%,98%,25%,15%,239,110,38.50%,61.50%,29.10%,70.90%,60,95%,97%,N/A,,2562,16%,N/A,9.70%,70,17,,4,84%,84
Macalester College,25,https://www.usnews.com/best-colleges/macalester-college-2358,"$56,292",12592,2174,"Private, Coed",1874,None,Semester,Urban,"$771,300,000.00","$50,100",41%,10,10:01,85.00%,72.60%,27.40%,0%,40%,60%,,25,32,28,21,144,,,,,26,,,"$26,865","$1,191",$500,$978,"$42,916",73%,66%,71%,"$48,261",66%,"$42,916",66%,"$6,047",57%,"$3,729",100%,"$15,361",N/A,10:01,3%,5%,94%,26%,22%,188,76,45.70%,54.30%,39.50%,60.50%,37,94%,97%,48%,,2174,13%,82%,15.60%,106,10,,4,63%,144
Bryn Mawr College,27,https://www.usnews.com/best-colleges/bryn-mawr-college-3237,"$54,440",17100,1690,"Private, Women's college",1885,None,Semester,Suburban,"$897,200,000.00","$49,700",34%,9,9:01,79.00%,71.50%,25.80%,3%,0%,100%,,27,7,36,27,99,31,,,,,44,,"$25,672","$1,000",$450,"$1,000","$43,903",69%,56%,100%,"$50,552",56%,"$43,903",56%,"$5,486",50%,"$5,064",100%,"$15,759",N/A,9:01,1%,0%,97%,26%,14%,156,37,38.50%,61.50%,35.10%,64.90%,36,93%,94%,N/A,,1360,15%,N/A,21.50%,175,8,,4.1,59%,99
College of the Holy Cross,27,https://www.usnews.com/best-colleges/holy-cross-2141,"$54,740",15070,3128,"Private, Coed",1843,Roman Catholic,Semester,Suburban,"$783,200,000.00","$55,300",38%,10,10:01,88.00%,60.00%,38%,2%,48%,52%,,27,,80,,121,,,,,,,,"$34,159","$1,000",N/A,$900,"$36,173",74%,56%,100%,"$40,528",56%,"$36,173",56%,"$4,603",45%,"$3,423",100%,"$15,200","$31,271",10:01,6%,0%,96%,15%,16%,290,38,52.10%,47.90%,52.60%,47.40%,40,96%,N/A,59%,,3128,17%,58%,3.10%,103,15,,3.6,58%,121
Colorado College,27,https://www.usnews.com/best-colleges/colorado-college-1347,"$58,086",12956,2144,"Private, Coed",1874,None,Block Plan,City,"$735,900,000.00","$47,900",15%,10,10:01,84.00%,72.60%,27%,0%,45%,55%,,27,6,26,3,200,39,,,,,,,"$34,032","$1,240","$1,160","$1,318","$50,108",42%,35%,100%,"$52,842",35%,"$50,108",35%,"$3,576",30%,"$3,047",100%,"$8,036","$57,685",10:01,3%,9%,99%,23%,18%,201,34,52.20%,47.80%,41.20%,58.80%,45,96%,98%,N/A,,2114,18%,83%,8.80%,141,10,,3.9,75%,200
Kenyon College,27,https://www.usnews.com/best-colleges/kenyon-college-3065,"$58,570",12580,1734,"Private, Coed",1824,None,Semester,Rural,"$413,900,000.00","$49,700",36%,10,10:01,85.00%,80.10%,19%,1%,45%,55%,,27,25,70,,207,,,,,,,,"$30,504","$1,900","$1,500",$0,"$41,663",60%,47%,100%,"$44,844",47%,"$41,663",47%,"$4,039",38%,"$2,659",100%,"$13,350",N/A,10:01,N/A,N/A,88%,28%,20%,156,40,55.80%,44.20%,45%,55%,33,92%,100%,N/A,,1734,N/A,87%,7.20%,164,6,,3.9,55%,207
Soka University of America,27,https://www.usnews.com/best-colleges/soka-university-of-america-38144,"$34,086",13032,442,"Private, Coed",1987,None,Semester,Suburban,"$1,300,000,000.00","$39,700",39%,8,8:01,86.00%,94.00%,6.00%,0%,34%,66%,,27,,7,,9,,,,,,,,"$13,854","$1,970",$864,"$2,852","$28,068",100%,90%,55%,"$35,618",90%,"$28,068",90%,"$2,040",64%,"$3,302",98%,"$24,284","$9,000",8:01,4%,0%,92%,34%,44%,50,27,58%,42%,44.40%,55.60%,1,94%,98%,N/A,,428,N/A,52%,43.90%,36,7,,2.6,33%,9
Mount Holyoke College,32,https://www.usnews.com/best-colleges/mount-holyoke-college-2192,"$52,258",15320,2335,"Private, Women's college",1837,None,Semester,Suburban,"$777,700,000.00","$47,500",51%,9,9:01,77.00%,76.70%,22%,2%,0%,100%,,32,32,57,,148,,,,,,,,"$26,239","$1,000","$1,500","$1,000","$36,597",74%,60%,100%,"$40,620",60%,"$36,597",60%,"$5,220",49%,"$3,010",100%,"$20,388",N/A,9:01,11%,3%,97%,22%,9%,211,58,44.10%,55.90%,36.20%,63.80%,51,91%,95%,N/A,,2208,19%,53%,27.20%,113,5,,3.9,47%,148
Oberlin College,33,https://www.usnews.com/best-colleges/oberlin-college-3086,"$56,818",16826,2812,"Private, Coed",1833,None,04-01-04,Suburban,"$947,100,000.00","$47,100",36%,9,9:01,75.00%,77.80%,21%,1%,43%,57%,,33,12,90,11,210,39,29,,18,,59,,"$31,331",$930,$700,$978,"$41,979",66%,53%,100%,"$46,044",53%,"$41,979",53%,"$4,570",47%,"$3,326",100%,"$18,961",N/A,9:01,7%,27%,93%,17%,20%,290,30,55.90%,44.10%,50%,50%,52,90%,94%,N/A,,2785,9%,94%,11.30%,175,15,,3.9,53%,210
Scripps College,33,https://www.usnews.com/best-colleges/scripps-college-1174,"$57,188",17600,1067,"Private, Women's college",1926,None,Semester,Suburban,"$362,000,000.00","$51,400",24%,10,10:01,81.00%,77.00%,23.00%,0%,0%,100%,,33,,95,,175,,,,,,,,"$30,974",$800,N/A,"$1,500","$39,074",63%,43%,100%,"$42,114",43%,"$39,074",43%,"$4,608",30%,"$3,222",100%,"$19,547",N/A,10:01,8%,0%,99%,36%,14%,96,29,42.70%,57.30%,24.10%,75.90%,64,92%,N/A,52%,,1048,N/A,55%,4.90%,300,8,,3.9,69%,175
Bucknell University,35,https://www.usnews.com/best-colleges/bucknell-university-3238,"$58,196",14174,3668,"Private, Coed",1846,None,Semester,Rural,"$851,300,000.00","$63,700",33%,9,9:01,85.00%,51.80%,47%,1%,49%,51%,,35,,101,43,200,51,,,,,,,"$40,976",$900,$400,"$2,130","$32,000",58%,42%,N/A,"$37,500",42%,"$32,000",42%,"$4,100",42%,"$3,500",92%,"$18,017","$37,946",9:01,5%,0%,99%,15%,5%,384,38,58.10%,41.90%,50%,50%,64,93%,92%,72%,,3597,12%,79%,6.70%,176,17,,3.9,58%,200
Pitzer College,35,https://www.usnews.com/best-colleges/pitzer-college-1172,"$54,056","$16,844",1106,"Private, Coed",1963,None,Semester,Suburban,"$141,500,000.00","$51,200",13%,10,10:01,77.00%,68.80%,31.20%,0%,44%,56%,,35,,,,185,,,,,,,,"$28,423",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:01,0%,0%,97%,34%,33%,99,24,38.40%,61.60%,45.80%,54.20%,45,93%,90%,50%,,1106,23%,56%,9.90%,60,11,,3.8,62%,185
Thomas Aquinas College,35,https://www.usnews.com/best-colleges/thomas-aquinas-college-10448,"$25,600",8800,407,"Private, Coed",1971,Roman Catholic,Semester,Rural,"$24,100,000.00",,78%,11,11:01,71.00%,100.00%,0.00%,0%,49%,51%,,35,51,31,,14,,,,,,,,N/A,$0,$864,"$2,852","$14,623",77%,74%,100%,"$20,691",74%,"$14,623",74%,"$8,369",74%,"$3,308",100%,N/A,N/A,10:01,3%,0%,99%,N/A,N/A,34,8,88.20%,11.80%,100%,N/A,1,92%,100%,35%,,407,N/A,62%,1.20%,3,0,,3.9,69%,175
Franklin and Marshall College,38,https://www.usnews.com/best-colleges/franklin-and-marshall-college-3265,"$58,795",14455,2309,"Private, Coed",1787,None,Semester,City,"$386,600,000.00","$51,100",35%,9,9:01,78.00%,67.80%,31%,1%,45%,55%,,38,60,35,30,137,88,,,,,,,"$27,531","$1,200",$100,"$1,270","$46,628",66%,54%,100%,"$50,808",54%,"$46,628",54%,"$4,658",49%,"$3,059",100%,"$5,000",N/A,9:01,N/A,N/A,95%,14%,10%,240,30,50.80%,49.20%,60%,40%,40,92%,92%,N/A,,2309,19%,72%,17.60%,90,6,,3.7,59%,137
Lafayette College,39,https://www.usnews.com/best-colleges/lafayette-college-3284,"$55,002",16264,2642,"Private, Coed",1826,None,Semester,Suburban,"$870,700,000.00","$63,900",29%,10,10:01,83.00%,62.20%,36.40%,1%,48%,52%,,39,,65,,194,,,,,,,,"$30,820","$1,000",$100,$900,"$44,741",65%,38%,100%,"$49,256",38%,"$44,741",38%,"$3,985",32%,"$3,389",100%,"$29,253","$45,636",10:01,4%,3%,98%,20%,12%,239,58,58.20%,41.80%,48.30%,51.70%,43,94%,N/A,63%,,2642,15%,81%,9.50%,250,24,,3.6,52%,194
Occidental College,39,https://www.usnews.com/best-colleges/occidental-college-1249,"$56,576",16034,2036,"Private, Coed",1887,None,Semester,Urban,"$434,200,000.00","$51,900",37%,10,10:01,81.00%,70.50%,29.50%,0%,42%,58%,,39,,67,,90,,,,,,,,"$29,211","$1,240","$1,050","$1,700","$45,552",72%,59%,99%,"$52,284",58%,"$45,552",59%,"$7,250",48%,"$4,552",100%,"$14,509",N/A,10:01,1%,8%,96%,33%,15%,192,59,49.50%,50.50%,54.20%,45.80%,34,91%,89%,N/A,,2036,18%,52%,6.10%,101,3,,3.8,53%,90
Skidmore College,39,https://www.usnews.com/best-colleges/skidmore-college-2814,"$56,172",15000,2613,"Private, Coed",1903,None,Semester,Suburban,"$379,300,000.00","$49,000",27%,8,8:01,82.00%,75.30%,24.10%,1%,39%,61%,,39,40,47,30,160,,,,,,,,"$27,410",N/A,N/A,N/A,"$46,400",54%,47%,100%,"$48,500",47%,"$46,400",47%,"$3,800",35%,"$3,100",100%,"$15,000",N/A,8:01,6%,1%,88%,20%,10%,286,103,45.50%,54.50%,44.70%,55.30%,39,92%,91%,50%,,2612,15%,65%,11.50%,113,9,,3.6,38%,160
United States Air Force Academy,39,https://www.usnews.com/best-colleges/united-states-air-force-academy-1369,,,4336,"Public, Coed",1954,None,Semester,Suburban,"$110,800,000.00","$71,800",11%,8,8:01,81.00%,65.50%,34%,0%,73%,27%,,39,,,,35,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:01,3%,5%,51%,10%,26%,537,94,75.60%,24.40%,63.80%,36.20%,34,94%,94%,88%,,4336,N/A,93%,1.30%,96,22,,4.2,53%,35
Denison University,43,https://www.usnews.com/best-colleges/denison-university-3042,"$53,830",13050,2285,"Private, Coed",1831,None,Semester,Suburban,"$850,400,000.00","$48,700",34%,9,9:01,82.00%,69.60%,30.20%,0%,46%,54%,,43,45,13,17,99,,,,,,,,"$24,808","$1,000","$1,000",$400,"$45,933",79%,50%,82%,"$47,681",50%,"$45,933",50%,"$6,197",41%,"$3,594",100%,"$17,390",N/A,9:01,6%,0%,99%,22%,11%,226,46,55.80%,44.20%,56.50%,43.50%,43,89%,96%,N/A,,2285,17%,74%,12.40%,187,21,,3.5,64%,99
The University of the South,43,https://www.usnews.com/best-colleges/the-university-of-the-south-3534,"$46,472",13268,1785,"Private, Coed",1857,Protestant Episcopal,Semester,Rural,"$411,000,000.00","$45,800",65%,10,10:01,78.00%,60.30%,39.50%,0%,49%,51%,,43,60,92,50,132,,,,,,,,"$27,544","$1,200",$580,"$1,350","$29,262",71%,50%,36%,"$35,088",50%,"$29,262",50%,"$4,888",36%,"$3,377",83%,"$19,708",N/A,10:01,6%,1%,95%,15%,10%,168,69,53.60%,46.40%,50.70%,49.30%,38,89%,86%,45%,,1698,13%,78%,3.50%,80,9,,3.6,30%,132
